正文 nz
进入 v
分配 vn
阶段 n
， x
整天 m
驴 n
踢 v
狗 n
咬 v
的 uj
。 x
你们 r
那里 r
怎样 r
？ x
” x
“ x
情况 n
差不多 l
。 x
反正 d
咱们 r
俩 m
是 v
世外桃源 n
， x
没有 v
人地 n
来 v
抢 v
咱们 r
的 uj
位置 v
。 x
” x
薛峰 x
没 v
说话 v
， x
冲 v
我 r
淡淡 z
一 m
笑 v
。 x
我们 r
很快 d
来到 v
了 ul
我们 r
经常 d
光顾 v
的 uj
地方 n
。 x
在 p
水渠 n
边 d
的 uj
小 n
白杨 nr
丛中 f
， x
薛峰 x
把 p
汽水 n
、 x
啤酒 n
和 c
一些 m
点心 v
放在 v
随身 d
带来 v
的 uj
一块 m
小 a
塑料布 n
上 f
， x
我们 r
就 d
像 v
过去 t
那样 r
紧 a
挨着 v
坐在 v
一起 m
。 x
树 v
和 c
茂密 a
的 uj
芦苇 n
把 p
他们 r
和 c
外面 f
的 uj
世界 n
隔开 v
。 x
这里 r
已经 d
远离 v
喧闹 v
的 uj
城市 ns
， x
四周围 f
静悄悄 z
的 uj
。 x
首先 d
照例 n
是 v
无言 c
的 uj
亲热 a
。 x
这 r
一刻 m
几乎 d
世界 n
上 f
的 uj
一切 r
都 d
被 p
忘得 v
一干二净 l
， x
只有 c
我们 r
温柔 a
的 uj
感情 n
在 p
心灵 n
中 f
静静地 z
流淌 v
。 x
我 r
记起 v
了 ul
他 r
给 p
我 r
念 v
过 ug
的 uj
Ｍ x
・ x
杜金 nr
的 uj
几句 m
诗 n
： x
一双 m
目光 n
深邃 a
的 uj
大 n
眼睛 n
， x
闪烁 v
得 ud
真是 d
意味深长 i
。 x
沉默 a
吧 y
， x
你 r
现在 t
的 uj
沉默 a
， x
比 p
你 r
吐 v
尽 v
言辞 nr
还 d
会 v
令 v
我 r
心明眼亮 l
… x
… x
过 ug
了 ul
一会 m
， x
我 r
问 v
薛峰 x
： x
“ x
是不是 l
真的 d
有 v
什么 r
重要 a
事 n
？ x
” x
他 r
又 d
笑笑 v
， x
没 v
说话 v
， x
回过 v
头 n
从 p
身边 s
的 uj
黄 n
书包 n
里 f
拿出 v
一张 m
报纸 n
递给 v
我 r
。 x
这 r
是 v
昨天 t
的 uj
省报 n
。 x
我 r
很快 d
在 p
副刊 n
上 f
发现 v
了 ul
他 r
的 uj
名字 n
。 x
这 r
是 v
他 r
和 c
另外 c
一个 m
叫 v
“ x
轻松 a
” x
的 uj
人 n
合写 v
的 uj
一首 m
诗 n
。 x
我 r
这 r
才 d
知道 v
他 r
说 v
的 uj
重要 a
事 n
是 v
什么 r
了 ul
。 x
我 r
当然 d
为 p
他 r
高兴 b
。 x
他 r
的 uj
任何 r
成绩 n
都 d
能 v
引起 v
我 r
无法 n
言语 nr
的 uj
骄傲 a
。 x
我 r
不知 v
为什么 r
开始 v
转弯抹角 i
地盘 n
问起 v
他 r
来 v
了 ul
。 x
“ x
这个 r
‘ x
岳志明 x
’ x
是 v
哪儿 r
的 uj
？ x
” x
“ x
我 r
一个班 m
的 uj
同学 n
。 x
” x
他 r
说 v
。 x
“ x
男 b
的 uj
还是 c
女 b
的 uj
？ x
” x
他 r
大笑 v
了 ul
， x
笑 v
得 ud
把 p
脸 n
转到 v
了 ul
一边 d
。 x
“ x
笑 v
什么 r
！ x
你 r
回答 v
我 r
！ x
” x
“ x
女 b
的 uj
。 x
” x
他 r
仍然 d
在 p
笑 v
。 x
我 r
不 d
言语 nr
了 ul
。 x
你们 r
知道 v
我 r
此刻 r
心里 s
在 p
想 v
什么 r
。 x
他 r
又 d
从 p
书包 n
里 f
掏出 v
个 q
笔记本 n
， x
从 p
里面 f
取出 v
一张 m
照片 n
递给 v
我 r
。 x
我 r
没有 v
接 v
。 x
他 r
一下 m
把 p
照片 n
堵 v
在 p
我 r
眼前 t
， x
说 v
： x
“ x
看 v
这个 r
女 b
的 uj
漂亮 a
不 d
漂亮 a
？ x
” x
我 r
看见 v
他 r
和 c
一个 m
男人 n
的 uj
合影 n
。 x
我 r
忍不住 v
为 p
自己 r
刚才 t
的 uj
醋意 n
而 c
不好意思 a
地 uv
笑 v
了 ul
。 x
他 r
说 v
： x
“ x
这 r
就是 d
岳志明 x
。 x
” x
“ x
是 v
笔名 n
吧 y
？ x
” x
“ x
是 v
的 uj
。 x
” x
“ x
真 d
俗气 n
！ x
现在 t
还取 v
这么 r
个 q
笔名 n
， x
一股 m
文革 n
味 n
！ x
” x
薛峰 x
把 p
照片 n
收 v
起来 v
， x
说 v
： x
“ x
他 r
叫 v
岳志明 x
， x
父亲 n
是 v
咱们 r
省委常委 j
， x
组织部长 n
。 x
” x
我 r
说 v
： x
“ x
这 r
首是 d
他 r
写 v
的 uj
还是 c
你 r
写 v
的 uj
？ x
我 r
真 d
理解 v
不了 v
， x
两个 m
人 n
居然 d
能合 v
写诗 n
！ x
” x
“ x
诗 n
当然 d
是 v
我 r
一个 m
人 n
写 v
的 uj
。 x
” x
“ x
那 r
为什么 r
署 ng
他 r
的 uj
名字 n
？ x
” x
薛峰 x
沉默 a
了 ul
一下 m
， x
避开 v
我 r
的 uj
问话 n
， x
说 v
： x
“ x
我 r
最近 f
准备 v
写 v
小说 n
。 x
我 r
觉得 v
诗 n
容量 n
太小 n
了 ul
… x
… x
” x
“ x
写 v
好 a
后 f
再 d
把 p
‘ x
岳志明 x
’ x
的 uj
名字 n
也 d
署 ng
上 f
。 x
” x
我 r
挖苦 v
他 r
说 v
。 x
他 r
平静 a
地 uv
看 v
了 ul
我 r
一眼 m
， x
说 v
： x
“ x
我 r
是 v
准备 v
这样 r
做 v
的 uj
。 x
” x
我 r
真 d
有点 n
难 a
理解 v
他 r
了 ul
。 x
我 r
毫不客气 l
地 uv
说 v
： x
“ x
你 r
讨好 v
这个 r
人 n
， x
是因为 c
他 r
父亲 n
是 v
大官 n
吧 y
？ x
你 r
怎么 r
也 d
变成 v
了 ul
这样 r
一个 m
人 n
？ x
他 r
和 c
他 r
的 uj
父亲 n
与 p
你 r
有 v
什么 r
关系 n
， x
何必 d
这样 r
呢 y
！ x
” x
薛峰 x
不 d
看 v
我 r
， x
拿 v
一根 m
树枝 n
低头 n
在 p
地上 s
划着 v
， x
说 v
： x
“ x
他 r
父亲 n
没有 v
什么 r
， x
可 v
他 r
母亲 n
… x
… x
” x
“ x
他 r
母亲 n
怎 r
了 ul
？ x
” x
“ x
他 r
母亲 n
是 v
省 n
教育局 n
分配 vn
办公室 n
的 uj
主任 b
。 x
” x
我 r
一下子 m
瞪住 v
了 ul
眼睛 n
， x
我 r
惊异 a
在 p
看着 v
在 p
地上 s
划道 v
道 q
的 uj
我 r
的 uj
亲爱 a
的 uj
薛峰 x
。 x
我 r
敏感 a
地 uv
意识 n
到 v
， x
是不是 l
有 v
某种 r
变化 vn
将 d
会 v
出现 v
在 p
我 r
和 c
他 r
之间 f
？ x
我 r
同时 c
也 d
明白 nr
了 ul
， x
他 r
今天 t
的确 d
有 v
某种 r
‘ x
重要 a
的 uj
事 n
’ x
要 v
告诉 v
我 r
， x
但 c
这 r
并 c
不是 c
他 r
所 u
发表 v
的 uj
那 r
首诗 n
。 x
我 r
问 v
： x
“ x
这 r
又 d
怎样 r
呢 y
？ x
” x
他 r
停止 v
了 ul
在 p
地上 s
划道 v
道 q
， x
抬起 v
头 n
， x
用 p
胳膊 n
搂住 v
我 r
的 uj
肩头 n
， x
说 v
： x
“ x
郑小芳 x
， x
让 v
我 r
直说 v
吧 y
， x
我们 r
不能 v
再 d
回到 v
我们 r
当初 t
说 v
要 v
去 v
的 uj
那个 r
地方 n
！ x
” x
“ x
为什么 r
！ x
” x
我 r
急 v
着 uz
对 p
他 r
嚷 v
道 q
。 x
“ x
我们 r
要 v
设法 n
留在 v
这个 r
城市 ns
。 x
只有 c
留在 v
这里 r
， x
我们 r
才能 v
更 d
她 r
地 n
发展 vn
自己 r
。 x
” x
“ x
我们 r
当初 t
说 v
过 ug
什么 r
？ x
” x
“ x
是 v
说 v
过 ug
… x
… x
” x
“ x
你 r
以前 f
可 v
从没 d
改变 v
过 ug
主意 n
。 x
” x
“ x
正 d
因为 c
这样 r
， x
一旦 d
觉醒 v
了 ul
， x
心里 s
就 d
更 d
着急 a
。 x
” x
我 r
怎么 r
也 d
想不到 l
， x
他 r
发生 v
了 ul
这么 r
大 a
的 uj
变化 vn
。 x
我 r
一时 d
无法 n
反应 vn
过来 t
， x
我 r
只是 c
急 v
着 uz
问 v
他 r
： x
“ x
你 r
什么 r
时候 n
改变 v
主意 n
的 uj
？ x
” x
“ x
我 r
也 d
不 d
知道 v
。 x
反正 d
我 r
现在 t
已经 d
决定 v
了 ul
。 x
当然 d
， x
以前 f
没 v
认真 ad
考虑 v
， x
也 d
没 v
事先 d
做 v
工作 vn
， x
现在 t
就是 d
想 v
些 q
办法 n
。 x
我 r
和 c
岳志明 x
合写 v
东西 ns
， x
就是 d
为 p
这个 r
的 uj
。 x
我 r
答应 v
满足 v
他 r
的 uj
虚荣心 i
， x
他 r
答应 v
帮 v
我 r
和 c
你 r
办事 n
。 x
我 r
想到 v
《 x
北方 f
》 x
杂志社 n
去 v
工作 vn
， x
你 r
就 d
留在 v
林业 n
学院 n
… x
… x
” x
“ x
不 d
！ x
” x
泪水 n
不知不觉 i
已经 d
涌满 v
了 ul
我 r
的 uj
眼睛 n
。 x
“ x
我 r
已经 d
给 p
学校 n
说 v
过 ug
， x
我 r
不 d
留校 v
。 x
现在 t
留校 v
的 uj
人 n
已经 d
确定 v
了 ul
。 x
” x
“ x
这 r
可以 c
改变 v
。 x
” x
“ x
不 d
！ x
不 d
！ x
不 d
！ x
” x
我 r
当时 t
只是 c
这么 r
嚷 v
着 uz
， x
心里 s
难受 v
极了 d
。 x
我 r
第一次 m
朦胧 a
地 uv
感觉 n
到 v
， x
尽管 c
薛峰 x
现在 t
仍然 d
用 p
胳膊 n
亲切 a
地 uv
搂 v
着 uz
我 r
的 uj
肩头 n
， x
但 c
有 v
一种 m
东西 ns
已经 d
横在 v
了 ul
他 r
和 c
我 r
之间 f
， x
我 r
感觉 n
到 v
了 ul
这个 r
， x
不知 v
为什么 r
， x
却 d
更紧 d
地 uv
靠 v
在 p
了 ul
他 r
的 uj
身上 s
。 x
一种 m
从未有过 l
的 uj
悲哀 a
和 c
伤痛 a
漫上 v
了 ul
我 r
的 uj
心头 s
， x
就 d
像 v
看见 v
一种 m
可怕 c
的 uj
疾病 n
缠在 v
了 ul
自己 r
亲人 n
的 uj
身上 s
。 x
是 v
的 uj
， x
我 r
不会 v
嫌恶 n
和 c
躲避 v
他 r
， x
我 r
要 v
想 v
办法 n
让 v
他 r
恢复健康 n
。 x
我 r
能 v
做到 v
这 r
一点 m
吗 y
？ x
我 r
已经 d
慌乱 a
到 v
了 ul
这样 r
的 uj
程度 n
： x
我 r
好像 v
觉得 v
他 r
真的 d
是 v
病 n
了 ul
， x
于是 c
忍不住 v
用 p
手 n
在 p
他 r
宽阔 a
的 uj
额头 n
上 f
摸了摸 l
。 x
并 c
不 d
发烧 v
， x
体温 n
是 v
正常 d
的 uj
。 x
我 r
在 p
急忙 d
中 f
讲 v
不出 v
什么 r
大道理 n
来 v
说服 v
他 r
， x
保好 v
央求 v
他 r
说 v
： x
“ x
我们 r
还是 c
回家 n
乡 n
那里 r
去 v
吧 y
！ x
我 r
求求 v
你 r
， x
一辈子 m
在 p
城市 ns
生活 vn
我们 r
习惯 n
不了 v
… x
… x
” x
“ x
慢慢 d
就 d
会 v
习惯 n
的 uj
。 x
我 r
已经 d
习惯 n
了 ul
。 x
回去 v
反而 c
会 v
不 d
习惯 n
！ x
” x
他 r
插嘴 v
说 v
。 x
“ x
那 r
就 d
从 p
我们 r
的 uj
事业 n
来 v
考虑 v
。 x
我学 n
的 uj
是 v
水土保持 nr
专业 n
， x
回到 v
山区 ns
和 c
沙漠 n
就 d
能 v
更好 d
地 uv
发挥 v
专业知识 n
。 x
你 r
搞 v
文学 n
， x
也 d
只有 c
在生活中 l
才能 v
写出 v
好 a
作品 n
来 v
… x
… x
” x
“ x
这 r
不是 c
理由 n
。 x
你 r
的 uj
专业 n
在 p
大学 n
能 v
培养 v
更 d
多 m
建设 vn
四化 j
的 uj
人才 n
。 x
我 r
留在 v
文学刊物 l
也 d
就 d
可以 c
使 v
自己 r
的 uj
才华 nr
不致 c
湮没 v
。 x
从 p
五四 m
以来 f
的 uj
许多 m
大 a
作家 n
都 d
是 v
编 n
刊物 n
的 uj
。 x
至于 p
生活 vn
， x
只要 c
有 v
活人 n
的 uj
地方 n
， x
就 d
有 v
生活 vn
。 x
因此 c
， x
这 r
不能 v
是 v
我们 r
不留 v
大城市 ns
的 uj
理由 n
。 x
” x
他 r
雄辩 a
地 uv
说 v
。 x
“ x
是 v
的 uj
， x
这 r
也许 d
不是 c
理由 n
… x
… x
” x
他 r
从 p
他 r
的 uj
胳膊 n
里 f
挣脱 v
出来 v
， x
对 p
他 r
说 v
： x
“ x
你 r
什么 r
时候 n
也 d
变得 v
这样 r
世俗 n
了 ul
？ x
我们 r
所 c
看重 v
的 uj
理想 n
， x
我们 r
所 u
看 v
笪 nr
的 uj
献身精神 n
， x
我们 r
一直 d
像 v
孩子 n
那样 r
所 c
珍爱 a
的 uj
一切 r
， x
你 r
都 d
一点 m
也 d
不要 df
了 ul
？ x
” x
我 r
感到 v
自己 r
的 uj
心 n
在 p
怦怦 o
地 uv
跳 v
着 uz
。 x
“ x
我们 r
现在 t
不是 c
孩子 n
了 ul
… x
… x
” x
他 r
说 v
。 x
是 v
的 uj
， x
我们 r
不是 c
孩子 n
了 ul
。 x
我 r
亲爱 a
的 uj
人 n
！ x
我们 r
长大 ns
了 ul
， x
但 c
我们 r
却 d
开始 v
吵嘴 v
， x
开始 v
分裂 v
。 x
如果 c
是 v
这样 r
， x
那么 r
， x
我 r
宁愿 d
我们 r
两个 m
人 n
永远都是 nz
孩子 n
啊 zg
！ x
我 r
感到 v
头晕目眩 i
， x
口干舌燥 l
。 x
我 r
怎么 r
也 d
想不到 l
在 p
我们 r
之间 f
竟然 d
出现 v
了 ul
这样 r
的 uj
情况 n
。 x
我 r
望 v
着 uz
他 r
那 r
张 q
漂亮 a
的 uj
脸 n
， x
意 n
忍不住 v
冲口 vn
说 v
： x
“ x
那 r
咱们 r
分手 v
吧 y
， x
各 r
走 v
各 r
的 uj
路 n
！ x
” x
他 r
一下子 m
从 p
地上 s
跳 v
起来 v
， x
吃惊 a
地 uv
望 v
着 uz
我 r
。 x
我 r
也 d
站 v
起来 v
， x
又 d
忍不住 v
扑 v
在 p
他 r
怀里 s
， x
伤心地 n
痛哭 v
起来 v
。 x
我 r
多么 r
难受 v
： x
为 p
他 r
， x
为 p
我 r
， x
为 p
我们 r
。 x
“ x
郑小芳 x
， x
回去 v
想想 v
吧 y
， x
今天 t
我们 r
再 d
不 d
说 v
这事 r
了 ul
。 x
我 r
相信 v
你 r
会 v
同意 d
我 r
的 uj
决定 v
的 uj
。 x
” x
他 r
温柔 a
地 uv
抚摸 v
着 uz
我 r
的 uj
发 vn
， x
轻轻地 z
说 v
。 x
我 r
没有 v
再 d
说话 v
。 x
这 r
并 c
不是 c
说 v
， x
我 r
已经 d
顺从 p
了 ul
他 r
。 x
三 m
（ x
薛峰 x
） x
真热 a
。 x
我 r
知道 v
不仅 c
天气 n
热 n
， x
我 r
的 uj
心 n
也 d
在 p
发烧 v
。 x
一切 r
都 d
权衡 nr
过 ug
了 ul
， x
结论 n
已经 d
相当 d
明确 ad
。 x
剩下 v
的 uj
只是 c
用 p
行动 vn
来 v
使 v
目标 n
成为 v
现实 n
。 x
过去 t
那些 r
想法 v
― x
― x
具体地说 l
， x
就是 d
到 v
一个 m
艰苦 a
的 uj
地方 n
去 v
创造 v
不 d
平凡 a
的 uj
业绩 n
― x
― x
不管 c
那 r
是 v
崇高 nrt
的 uj
还是 c
狂热 a
的 uj
， x
反正 d
一切 r
都 d
已经 d
退远 v
了 ul
。 x
从 p
内心深处 i
来说 u
， x
这 r
的确 d
叫 v
人 n
有些 r
伤感 n
。 x
向 p
过去 t
这样 r
一些 m
视为 v
神圣 ns
的 uj
东西 ns
告别 v
， x
总是 c
一件 m
很 zg
痛苦 an
的 uj
事 n
。 x
这 r
也 d
如同 d
我们 r
希望 v
成为 v
大人 n
， x
但 c
却 d
又 d
眷恋着 v
自己 r
的 uj
童年 t
。 x
这个 r
比喻 n
不 d
太 d
恰当 d
。 x
不管怎样 l
说 v
， x
我 r
和 c
亲爱 a
的 uj
郑小芳 x
曾经 d
共同 d
制作 vn
了 ul
一叶 m
理想 n
的 uj
风帆 n
。 x
是 v
的 uj
， x
风帆 n
。 x
这 r
风帆 n
一直 d
行驶 v
在 p
我们 r
心灵 n
蔚蓝色 nr
的 uj
海洋 ns
里 f
… x
… x
但 c
这 r
叶 nr
风帆 n
现在 t
应该 v
转向 v
。 x
是 v
的 uj
， x
转向 v
。 x
转 v
到 v
现实生活 n
逻辑 n
所 u
铺成 v
的 uj
航道 n
上来 t
， x
而 c
不 d
应该 v
再 d
在 p
理想 n
的 uj
王国里 nr
任意 v
飘游 v
了 ul
。 x
作为 v
一个 m
农民 n
的 uj
儿子 n
， x
我 r
对 p
故乡 n
的 uj
山水 ns
和 c
那里 r
的 uj
乡亲 n
永远 d
抱 v
有 v
深情 n
。 x
我 r
一直 d
无法 n
割断 v
我 r
和 c
这 r
一切 r
的 uj
感情 n
联系 n
， x
总 b
想 v
不管怎样 l
， x
我 r
还是 c
要 v
回到 v
他们 r
中国 ns
去 v
。 x
但 c
后来 t
心情 n
慢慢 d
矛盾 an
起来 v
了 ul
。 x
说心里话 l
， x
我 r
虽然 c
上 f
的 uj
师范大学 n
， x
按理 vn
就 d
应该 v
去 v
做 v
一名 m
教师 n
， x
但 c
我 r
当然 d
更 d
愿 v
成为 v
一个 m
诗人 n
。 x
如果 c
我 r
像 v
原来 d
想 v
的 uj
那样 r
去 v
山区 ns
， x
就 d
只能 v
到 v
一个 m
中学 n
去 v
任教 n
。 x
教师 n
， x
那 r
意味着 v
无穷无尽 i
地 uv
讲课 v
， x
改 v
作业 n
， x
开会 v
。 x
如果 c
再代 v
个 m
班主任 n
， x
那 r
就是 d
成天 t
跟 p
在 p
几十名 m
二 m
混 n
小子 n
的 uj
后头 n
瞎折腾 v
。 x
这 r
能 v
写诗 n
吗 y
？ x
诗人 n
应该 v
听 v
交响乐 n
， x
看 v
芭蕾舞 n
， x
进行 v
广泛 a
的 uj
交游 n
， x
才能 v
获得 v
灵感 a
。 x
可是 c
， x
沙漠 n
里 f
只能 v
听 v
蒙古 ns
风 n
粗野 n
的 uj
吼叫 v
， x
看 v
一望无际 i
、 x
没有 v
任何 r
生命 vn
的 uj
黄 n
沙丘 nr
。 x
几十里 m
路上 s
甚至 d
连 nr
人影 n
都 d
找 v
不见 v
， x
写 v
什么 r
呢 y
？ x
也许 d
只能 v
去 v
反复 v
赞颂 v
那些 r
可怜 v
的 uj
沙柳 nr
了 ul
… x
… x
我 r
也许 d
说 v
得 ud
太过分 l
了 ul
。 x
是 v
的 uj
， x
那里 r
毕竟 d
吴 nr
有 v
雄伟 a
古长城 nr
的 uj
遗迹 n
横卧 v
在 p
荒漠 n
之中 r
； x
驼铃 n
， x
海子 n
， x
烽火台 n
， x
以及 c
壮丽 a
的 uj
落日 n
和 c
直升 v
的 uj
炊烟 n
， x
也 d
都 d
是 v
诗 n
。 x
我 r
想 v
我 r
就是 d
留在 v
大城市 ns
， x
今后 t
一定 d
也 d
要 v
去 v
那里 r
的 uj
。 x
但 c
这 r
应该 v
是 v
一个 m
诗人 n
去 v
漫游 vn
， x
而 c
不是 c
去 v
充当 a
那里 r
的 uj
一个 m
永久 d
的 uj
居民 n
。 x
这 r
正是 d
我 r
现在 t
和 c
过去 t
想法 v
和 c
不同 a
所在 b
。 x
当然 d
， x
这 r
一切 r
变化 vn
是 v
慢慢 d
发展 vn
的 uj
。 x
我 r
进 v
大学 n
后 f
， x
渐渐 d
发现 v
， x
像 v
我 r
和 c
郑小芳 x
抱有 v
的 uj
那种 r
浪漫生活 n
观点 n
的 uj
人 n
， x
几乎 d
很 d
难 a
找到 v
。 x
所有 b
的 uj
人 n
都 d
是 v
实际 n
的 uj
。 x
他们 r
一边 d
拼命 v
学习 v
知识 v
， x
一边 d
拼命 v
追逐 v
据说 v
是 v
属于 v
他们 r
自己 r
的 uj
东西 ns
。 x
说实话 l
， x
我 r
一 m
开始 v
瞧不起 v
这些 r
人 n
， x
自视 v
自己 r
的 uj
境界 n
要 v
比 p
他们 r
高 a
。 x
我 r
曾经 d
直率 n
地 uv
对 p
同学 n
们 k
说出 v
我 r
毕业 n
后 f
的 uj
打算 v
， x
结是 n
招致 v
了 ul
一部分 m
人 n
的 uj
无情 n
嘲笑 v
。 x
他们 r
说 v
我 r
还 d
停留 v
在 p
“ x
四人帮 j
” x
的 uj
时候 n
， x
坚持 v
要 v
“ x
上山下乡 ns
” x
呀 y
， x
以后 f
大家 n
甚至 d
渐渐 d
不理 v
我 r
了 ul
， x
似乎 d
我 r
是 v
一个 m
怪物 n
似的 u
。 x
我 r
经历 n
了 ul
痛苦 an
的 uj
孤独 a
。 x
当时 t
， x
我 r
反复 v
从 p
内心 n
审视 v
了 ul
自己 r
灵魂 n
的 uj
殿堂 n
， x
再 d
一次 m
看到 v
那里 r
所 c
供奉 v
的 uj
东西 ns
仍然 d
是 v
崇高 nrt
的 uj
。 x
同时 c
， x
我 r
也 d
开始 v
不 d
抱 v
偏见 v
地 uv
观察 v
和 c
琢磨 v
嘲笑 v
我 r
的 uj
那些 r
人 n
的 uj
生活 vn
观点 n
。 x
我 r
当时 t
是 v
这样 r
想 v
的 uj
： x
既然 c
这么 r
多 m
人 n
所 u
信仰 n
的 uj
东西 ns
， x
我 r
有没有 v
权利 n
轻易 a
地 uv
去 v
否定 v
它 r
？ x
一 m
开始 v
， x
我 r
发现 v
这些 r
东西 ns
和 c
我 r
心灵 n
中 f
的 uj
东西 ns
还是 c
对立 v
的 uj
。 x
我 r
无法 n
效法 n
。 x
尽管 c
我 r
在 p
我 r
的 uj
环境 n
中 f
孤独 a
， x
但 c
我 r
有 v
我 r
的 uj
郑小芳 x
。 x
我 r
只要 c
和 c
她 r
在 p
一起 m
， x
精神 n
便 d
感到 v
无比 v
郐 g
畅 a
和 c
激昂 a
。 x
这 r
不仅仅 d
是 v
我 r
深切 a
地 uv
爱 v
她 r
， x
更 d
重要 a
的 uj
是 v
我们 r
有 v
相通 v
的 uj
心灵 n
。 x
她 r
的 uj
美丽 ns
、 x
善良 a
和 c
正直 d
， x
她 r
的 uj
火 n
一样 r
的 uj
热情 n
永远 d
使 v
我 r
迷恋 v
和 c
陶醉 nr
。 x
我们 r
经常 d
在 p
一块 m
谈 v
沙漠 n
， x
谈 v
诗 n
， x
谈树 nr
， x
谈 v
未来 t
我们 r
所 c
要 v
进行 v
的 uj
工作 vn
… x
… x
所有 b
这 r
一切 r
都 d
使 v
我 r
有 v
勇气 n
在 p
我 r
的 uj
环境 n
里 f
坚持 v
自己 r
的 uj
观点 n
。 x
我 r
想 v
只要 c
我 r
和 c
郑小芳 x
在 p
一起 m
， x
别说 c
是 v
去 v
毛乌素沙漠 ns
， x
就是 d
到 v
冰天雪地 i
的 uj
北极 ns
去 v
也 d
是 v
幸福 a
的 uj
。 x
回到 v
学校 n
的 uj
时候 n
， x
我 r
听到 v
的 uj
仍然 d
是 v
一些 m
老 a
话题 n
： x
如何 r
走后门 n
留在 v
城市 ns
； x
如何 r
逃避 v
当 t
中学 n
教书匠 n
的 uj
命运 n
； x
用 p
什么 r
方法 n
， x
在 p
几年 m
内 n
取得 v
什么样 r
的 uj
学位 n
； x
一个 m
现代化 vn
的 uj
家庭 n
应该 v
是 v
个 q
什么 r
样子 n
； x
如果 c
要 v
从事 v
一项 m
事业 n
， x
必须 d
找 v
一个 m
没 v
事业心 n
的 uj
贤妻良母 n
或者 c
一定 d
既 c
要是 c
贤妻良母 n
又 d
要 v
有 v
事业心 n
等等 u
。 x
不久 a
， x
突然 ad
有 v
一个 m
人 n
主动 b
和 c
我 r
交朋友 n
。 x
这 r
就是 d
我 r
已经 d
提到 v
过 ug
的 uj
岳志明 x
。 x
岳志明 x
从 p
一切 r
方面 n
来说 u
一 m
看 v
就是 d
个 q
高干 n
子弟 n
。 x
他 r
能 v
把 p
浮华 nz
掩饰 v
在 p
质朴 n
之中 r
； x
能 v
把 p
俗气 n
深藏 ns
在 p
脱俗 n
的 uj
表面 n
下 f
。 x
本质 n
是 v
傲气 a
的 uj
， x
但 c
又 d
可以 c
居高临下 i
地 uv
关怀 nr
别人 r
。 x
就 d
拿 v
穿衣服 n
来说 u
吧 y
， x
外衣 n
是 v
不 d
讲究 vn
的 uj
， x
但 c
衬衣 n
又 d
特别 d
讲究 vn
。 x
大家 n
都 d
知道 v
他 r
是 v
谁 r
的 uj
儿子 n
。 x
班上 s
有 v
几个 m
女同学 n
都 d
争 v
着 uz
接近 v
他 r
， x
大概 d
是 v
想 v
当 p
省委常委 j
的 uj
儿媳妇 n
― x
― x
尽管 c
她们 r
知道 v
他 r
已经 d
和 c
省军区 n
一位 m
副政委 n
的 uj
女儿 n
在 p
恋爱 v
。 x
岳志明 x
和 c
我 r
交朋友 n
是 v
我 r
在 p
报刊 n
上 f
发表 v
了 ul
几首 m
诗 n
以后 f
。 x
我 r
愿意 v
和 c
他 r
交往 v
倒 v
不是 c
因为 c
他 r
是 v
某某人 vn
的 uj
儿子 n
， x
而是 c
他 r
愿意 v
和 c
我 r
交朋友 n
本身 r
。 x
大家 n
知道 v
， x
班上 s
是 v
没 d
人 n
和 c
我 r
交朋友 n
的 uj
。 x
岳志明 x
一下子 m
便 d
给 p
我 r
打开 v
了 ul
另外 c
一个 m
世界 n
。 x
他 r
把 p
我 r
带进 v
了 ul
大门 n
上 f
有 v
军人 n
站岗 v
的 uj
省委 j
大院 n
他们 r
的 uj
家 n
― x
― x
顺便 ad
说 v
一下 m
， x
平时 t
我 r
路过 v
这 r
大门 n
， x
甚至 d
不敢 d
用 p
眼睛 n
往 zg
里 f
瞧一瞧 v
。 x
现在 t
进 v
这里 r
竟然 d
如入无人 i
之 u
地 uv
， x
并且 c
连 nr
那些 r
站岗 v
的 uj
严肃 a
的 uj
军人 n
还 d
含笑 v
点头 v
― x
― x
这 r
当然 d
不是 c
对 p
我 r
， x
而是 c
向 p
岳志明 x
致敬 v
。 x
我 r
跟着 v
他 r
坐 v
着 uz
他 r
父亲 n
的 uj
小车 n
， x
看过 v
国外 s
交响乐 n
园 zg
那些 r
令人 nrt
陶醉 nr
的 uj
辉煌 a
的 uj
演奏 v
， x
欣赏 v
过 ug
北京 ns
和 c
上海 ns
来 v
的 uj
芭蕾舞团 n
激动人心 n
的 uj
表演 v
。 x
这些 r
高级 b
的 uj
演出 v
通常 d
很难 d
买到 v
票 n
， x
而 c
我们 r
连票 n
也 d
不要 df
买 v
， x
还 d
能 v
坐在 v
最好 a
的 uj
位置 v
上 f
。 x
与此同时 c
， x
我 r
的 uj
朋友 n
还 d
引荐 v
我 r
结识 n
了 ul
他 r
那个 r
圈子里 n
的 uj
许多 m
非凡 d
人物 n
。 x
这样 r
的 uj
圈子 n
通常 d
都 d
是 v
一些 m
确有 v
才华 nr
的 uj
青年 t
和 c
一些 m
虽 c
没 v
多少 m
才华 nr
但 c
出身 v
高干 n
的 uj
子弟 n
组成 v
。 x
要么 c
出身 v
显贵 a
， x
要么 c
才华 nr
惊人 a
， x
否则 c
入 v
不了 v
这种 r
圈子 n
。 x
我 r
敢肯定 z
， x
